date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-12-29,AC,Santa Rosa do Purus,386,2,6540.0,5746.61307,0.0052
2020-12-29,AC,Sena Madureira,2590,16,45848.0,5568.57518,0.0062
2020-12-29,AC,Senador Guiomard,630,15,23024.0,2711.31004,0.0238
2020-12-29,AC,Tarauacá,2870,14,42567.0,6651.06255,0.0049
2020-12-29,AC,Xapuri,1798,13,19323.0,9175.34191,0.0072
2020-12-29,AM,Alvarães,1447,25,16041.0,8921.085079999999,0.0173
2020-12-29,AM,Amaturá,1035,10,11536.0,8819.0184,0.0097
2020-12-29,AM,Anamã,1177,1,13614.0,8433.64861,0.0008
2020-12-29,AM,Anori,1306,18,21010.0,6080.92378,0.0138
2020-12-29,AM,Apuí,481,5,21973.0,2151.259,0.0104
2020-12-29,AM,Atalaia do Norte,1613,5,19921.0,7907.638000000001,0.0031
2020-12-29,AM,Autazes,1641,38,39565.0,4072.97096,0.0232
2020-12-29,AM,Barcelos,2991,28,27502.0,10822.05659,0.0094
2020-12-29,AM,Barreirinha,1500,27,32041.0,4617.80008,0.018000000000000002
2020-12-29,AM,Benjamin Constant,1807,46,42984.0,4112.89405,0.0255
2020-12-29,AM,Beruri,1101,13,19679.0,5479.52023,0.0118
2020-12-29,AM,Boa Vista do Ramos,596,7,19207.0,3036.78793,0.0117
2020-12-29,AM,Boca do Acre,2026,18,34308.0,5849.57413,0.0089
2020-12-29,AM,Borba,939,24,41161.0,2249.20954,0.0256
2020-12-29,AM,Caapiranga,396,9,13081.0,2981.25423,0.0227
2020-12-29,AM,Canutama,790,6,15629.0,4997.78579,0.0076
2020-12-29,AM,Carauari,3734,23,28294.0,13098.07773,0.0062
2020-12-29,AM,Careiro,2253,25,37869.0,5875.14342,0.0111
2020-12-29,AM,Careiro da Várzea,449,6,30225.0,1455.61823,0.0134
2020-12-29,AM,Coari,8298,137,85097.0,9658.94541,0.0165
2020-12-29,AM,Codajás,418,10,28637.0,1433.07735,0.0239
2020-12-29,AM,Eirunepé,2709,12,35273.0,7588.23529,0.0044
2020-12-29,AM,Envira,1030,2,20033.0,5050.75271,0.0019
2020-12-29,AM,Fonte Boa,1183,21,17609.0,6956.77742,0.0178
2020-12-29,AM,Guajará,998,16,16678.0,5892.424870000002,0.016
2020-12-29,AM,Humaitá,4648,84,55080.0,8278.711879999999,0.0181
2020-12-29,AM,Ipixuna,2684,12,29689.0,8818.5044,0.0045
2020-12-29,AM,Iranduba,3225,60,48296.0,6580.1554799999985,0.0186
2020-12-29,AM,Itacoatiara,2887,96,101337.0,2811.07292,0.0333
2020-12-29,AM,Itamarati,608,7,7851.0,7780.90607,0.0115
2020-12-29,AM,Itapiranga,1631,15,9148.0,17670.639219999994,0.0092
2020-12-29,AM,Japurá,594,2,2755.0,26388.27188,0.0034
2020-12-29,AM,Juruá,578,8,14712.0,3826.29419,0.0138
2020-12-29,AM,Jutaí,604,17,14317.0,4349.70474,0.0281
2020-12-29,AM,Lábrea,3734,44,46069.0,7964.67727,0.0118
2020-12-29,AM,Manacapuru,4558,172,97377.0,4627.31721,0.0377
2020-12-29,AM,Manaquiri,730,23,32105.0,2208.84142,0.0315
2020-12-29,AM,Manaus,80420,3346,2182763.0,3623.20799,0.0416
2020-12-29,AM,Manicoré,1685,36,55751.0,2977.92623,0.0214
2020-12-29,AM,Maraã,1157,7,18224.0,6335.90712,0.0061
2020-12-29,AM,Maués,2301,49,63905.0,3537.82288,0.0213
2020-12-29,AM,Nhamundá,969,17,21173.0,4518.95724,0.0175
2020-12-29,AM,Nova Olinda do Norte,1570,29,37378.0,4128.7540100000015,0.0185
2020-12-29,AM,Novo Airão,1162,12,19454.0,5830.99157,0.0103
2020-12-29,AM,Novo Aripuanã,879,14,25644.0,3374.79843,0.0159
2020-12-29,AM,Parintins,7232,161,114273.0,6268.90771,0.0223
2020-12-29,AM,Pauini,1513,6,19426.0,7750.2305099999985,0.004
2020-12-29,AM,Presidente Figueiredo,3879,39,36279.0,10429.38187,0.0101
2020-12-29,AM,Rio Preto da Eva,2098,24,33347.0,6151.41031,0.0114
2020-12-29,AM,Santa Isabel do Rio Negro,2359,22,25156.0,9120.43302,0.0093
2020-12-29,AM,Santo Antônio do Içá,1351,28,21602.0,6359.7420299999985,0.0207
2020-12-29,AM,Silves,804,7,9171.0,8710.72589,0.0087
2020-12-29,AM,São Gabriel da Cachoeira,5006,58,45564.0,10811.39451,0.0116
2020-12-29,AM,São Paulo de Olivença,2121,32,39299.0,5292.84057,0.0151
